Tempo decorrido,E[N],E[W],Lambda,Erro Little
36980.00,309.2317801862,154.0244495354,2.0076798269,-0.00000000059418425735
36990.00,309.1659434005,154.0021848720,2.0075425791,-0.00000000060430238591
37000.00,309.1003969627,153.9779830043,2.0074324324,-0.00000000061106675275
37010.00,309.0344871778,153.9494484066,2.0073763848,-0.00000000061976379584
37020.00,308.9702425467,153.9217394343,2.0073203674,-0.00000000063738525569
37030.00,308.9063310938,153.8900518011,2.0073183905,-0.00000000063300831243
37040.00,308.8422948406,153.8686493008,2.0071814255,-0.00000000063886318458
37050.00,308.7774927447,153.8261702305,2.0073144399,-0.00000000062215121943
37060.00,308.7138579503,153.7801496769,2.0075013492,-0.00000000063749894252
37070.00,308.6504026083,153.7631590049,2.0073104937,-0.00000000062539129431
37080.00,308.5873481898,153.7174409697,2.0074973031,-0.00000000062271965362
37090.00,308.5254926656,153.6909117195,2.0074413589,-0.00000000063499783209
37100.00,308.4637589630,153.6520603860,2.0075471698,-0.00000000063249672166
37110.00,308.4011313358,153.6127722525,2.0076529237,-0.00000000064574123826
37120.00,308.3398099118,153.5762038449,2.0077316810,-0.00000000064733285399
37130.00,308.2774503394,153.5453033807,2.0077295987,-0.00000000064596861193
37140.00,308.2164179593,153.5088877971,2.0078082929,-0.00000000066040684032
37150.00,308.1559955496,153.4871857278,2.0076985195,-0.00000000065375616032
37160.00,308.0942298851,153.4689220182,2.0075349839,-0.00000000065909944169
37170.00,308.0317021698,153.4543822666,2.0073177294,-0.00000000066688699007
37180.00,307.9695565054,153.4359085425,2.0071543841,-0.00000000064994765125
37190.00,307.9082229413,153.3993330280,2.0072331272,-0.00000000066245320340
37200.00,307.8473808612,153.3712241932,2.0072043011,-0.00000000066592065195
37210.00,307.7857008821,153.3529622914,2.0070411180,-0.00000000066398797571
37220.00,307.7243097275,153.3266239369,2.0069854917,-0.00000000067228711487
37230.00,307.6630225215,153.2962303065,2.0069836154,-0.00000000066324901127
37240.00,307.5997478348,153.2730492586,2.0068743287,-0.00000000065921312853
37250.00,307.5336060140,153.2484324706,2.0067651007,-0.00000000063494098868
37260.00,307.4652698362,153.2227149866,2.0066559313,-0.00000000063050720200
37270.00,307.3974679364,153.1747259845,2.0068419640,-0.00000000062755134422
37280.00,307.3319984515,153.1463368973,2.0067864807,-0.00000000061623950387
37290.00,307.2647769865,153.1027490560,2.0069187450,-0.00000000063221250457
37300.00,307.1988003214,153.0761505846,2.0068364611,-0.00000000062476601670
